License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Qin, Ben; Fang, Huang; Shichun, Huang; Andre, Python; Yunfeng, Chen; J, ZhangZhou, 2022, ""Global mantle clinopyroxene data (major and trace elements)"", https://doi.org/10.25625/AVAW2Y, GRO.data, V2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITATIONS,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ROCK NAME,ROCK TEXTURE,MINERAL,SPOT,RIM/CORE (MINERAL GRAINS),PRIMARY/SECONDARY,SC(PPM),TI(PPM),V(PPM),CR(PPM),NI(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),Petrography,Note,Labelled by LREE
[10168] ZHENG JIAN-PING (2001),samp. HB92047,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE,HEBI AREA,35.9,35.9,114.2,114.2,subaerial,"LHERZOLITE, SPINEL, XENOLITH",COARSE-GRAINED,CLINOPYROXENE,,,secondary,79,899,190,7460,352,1.4,383,6.9,52,0.9,5.4,3,19.5,4.59,27.1,7.1,2.14,4.72,0.46,2.05,0.29,0.57,0.07,0.53,0.09,1.95,0.12,0.19,0.11,0.04,,,
[10168] ZHENG JIAN-PING (2001),samp. HB12,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE,HEBI AREA,35.9,35.9,114.2,114.2,subaerial,"LHERZOLITE, AMPHIBOLE, XENOLITH",COARSE-GRAINED,CLINOPYROXENE,,,secondary,59,540,246,8490,409,2.3,537,10.5,89,2.8,10.3,9.3,38.2,6.16,27.1,5.3,1.64,3.95,0.49,2.66,0.44,1.03,0.13,0.82,0.1,3.06,0.14,0.32,0.45,0.21,Amphibole,,
[10168] ZHENG JIAN-PING (2001),samp. HB22,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE,HEBI AREA,35.9,35.9,114.2,114.2,subaerial,"LHERZOLITE, SPINEL, XENOLITH",COARSE-GRAINED,CLINOPYROXENE,,,secondary,49,120,127,8140,370,0.4,180,0.9,2,1.3,5.1,7.8,14.5,1.48,4.7,0.5,0.17,0.36,0.03,0.18,0.04,0,0,0.16,0,0.1,0.08,0.12,0.51,0.14,,,
[10168] ZHENG JIAN-PING (2001),samp. HB92045,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE,HEBI AREA,35.9,35.9,114.2,114.2,subaerial,"PERIDOTITE, SPINEL, XENOLITH",COARSE-GRAINED,CLINOPYROXENE,,,secondary,57,2998,150,14580,277,0,258,9.3,152,0.8,0.6,3.4,15.6,3.09,17.5,5,1.6,4.19,0.52,2.67,0.41,0.82,0.1,0.54,0.06,3.66,0.13,0.5,0.06,0.02,,,
[10168] ZHENG JIAN-PING (2001),samp. HB6A,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE,HEBI AREA,35.9,35.9,114.2,114.2,subaerial,"LHERZOLITE, SPINEL, XENOLITH",COARSE-GRAINED,CLINOPYROXENE,,,secondary,55,120,145,8830,343,0,281,2.9,9,0.7,0.7,9.2,24.8,3.32,13.6,2.5,0.77,1.66,0.18,0.82,0.11,0.24,0.03,0.3,0.04,0.09,0.09,0.2,0.43,0.13,,,
[10168] ZHENG JIAN-PING (2001),samp. HB10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE,HEBI AREA,35.9,35.9,114.2,114.2,subaerial,"LHERZOLITE, SPINEL, XENOLITH",COARSE-GRAINED,CLINOPYROXENE,,,secondary,83,1259,211,12590,302,1.8,583,6.2,61,1.9,10,7.4,31.3,6.45,35.2,7.1,1.96,4.38,0.44,1.89,0.25,0.49,0.05,0.32,0.05,2.05,0.22,0.1,0.17,0.05,,,
[10168] ZHENG JIAN-PING (2001),samp. HB92039,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE,HEBI AREA,35.9,35.9,114.2,114.2,subaerial,"LHERZOLITE, SPINEL, XENOLITH",COARSE-GRAINED,CLINOPYROXENE,,,secondary,45,60,146,7800,417,0,470,0.6,2,0.8,1.2,16.2,36.5,3.67,11.2,1.3,0.32,0.64,0.05,0.18,0.03,0,0.02,0.11,0,0.04,0.08,0.49,0.84,0.17,,,
[10168] ZHENG JIAN-PING (2001),samp. HB4,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE,HEBI AREA,35.9,35.9,114.2,114.2,subaerial,"LHERZOLITE, XENOLITH",MEDIUM-GRAINED,CLINOPYROXENE,,,secondary,74,779,218,11360,345,0.1,349,13.3,82,2.1,1.1,14.7,35.4,4.89,22.2,5.6,2,5.52,0.72,3.71,0.55,1.12,0.11,0.61,0.07,2.91,0.29,0.16,0.85,0.23,,,
[10168] ZHENG JIAN-PING (2001),samp. HB5,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE,HEBI AREA,35.9,35.9,114.2,114.2,subaerial,"LHERZOLITE, SPINEL, XENOLITH",COARSE-GRAINED,CLINOPYROXENE,,,secondary,52,180,81,7460,334,0,879,0.5,8,0.4,0.4,25.9,51.2,5.72,18.1,2,0.47,0.85,0.05,0.14,0.02,0,0.02,0.12,0.03,0.14,0.04,0.7,0.84,0.18,,,
[10286] BIZIMIS M. (2007),samp. NMNH115048-1,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,SALT LAKE CRATER,21.34,21.34,-157.92,-157.92,subaerial,"PERIDOTITE, SPINEL, XENOLITH",,CLINOPYROXENE,,,secondary,75,1162,132,4605,330,0.008,146,6.1,17.8,0.272,0.253,3.8,12.1,1.987,9.6,2.58,0.86,2.43,0.31,1.459,0.233,0.527,,0.47,0.067,0.358,0.037,0.127,0.081,0.028,,,
[10286] BIZIMIS M. (2007),samp. NMNH114745-2,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,SALT LAKE CRATER,21.34,21.34,-157.92,-157.92,subaerial,"PERIDOTITE, SPINEL, XENOLITH",,CLINOPYROXENE,,,secondary,59,5039,283,6181,338,0.026,128,9.2,34,0.193,1.69,3.88,10.9,1.733,8.4,2.42,0.84,2.63,0.38,1.969,0.364,0.914,,0.773,0.104,0.852,0.038,0.043,0.126,0.042,,,
[10286] BIZIMIS M. (2007),samp. NMNH115048-2,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,SALT LAKE CRATER,21.34,21.34,-157.92,-157.92,subaerial,"PERIDOTITE, SPINEL, XENOLITH",,CLINOPYROXENE,,,secondary,79,1227,270,4263,313,0.036,164,11.5,23.1,0.396,2.613,3.57,13.7,2.424,12.3,3.28,1.09,3.07,0.42,2.365,0.439,1.096,,0.993,0.139,0.439,0.067,0.053,0.083,0.031,,,
[10286] BIZIMIS M. (2007),samp. NMNH114745-3,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,SALT LAKE CRATER,21.34,21.34,-157.92,-157.92,subaerial,"PERIDOTITE, SPINEL, XENOLITH",,CLINOPYROXENE,,,secondary,59,4422,252,5933,274,0.018,126,9.3,41.3,0.307,0.988,3.84,10.9,1.738,8.4,2.48,0.85,2.7,0.39,2.017,0.359,0.876,,0.665,0.088,1.215,0.059,0.051,0.129,0.042,,,
[10286] BIZIMIS M. (2007),samp. NMNH114989-3,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,SALT LAKE CRATER,21.34,21.34,-157.92,-157.92,subaerial,"PERIDOTITE, SPINEL, XENOLITH",,CLINOPYROXENE,,,secondary,64,2529,243,2526,331,0.07,113,18.6,25.9,0.806,3.063,4.3,10.9,1.627,7.7,2.23,0.82,2.77,0.47,3.066,0.675,1.924,,1.727,0.245,0.791,0.056,0.084,0.216,0.086,,,
[10286] BIZIMIS M. (2007),samp. NMNH114989-37,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,SALT LAKE CRATER,21.34,21.34,-157.92,-157.92,subaerial,"PERIDOTITE, SPINEL, XENOLITH",,CLINOPYROXENE,,,secondary,56,5258,315,8036,433,0.198,276,18.9,112.9,0.182,2.317,7.33,29.2,5.177,25.4,6.26,1.98,5.73,0.77,4.117,0.739,1.708,,1.334,0.177,2.975,0.045,0.202,0.126,0.056,,,
[10519] KOVACS I. J. (2004),samp. NNS07,INTRAPLATE VOLCANICS,CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONI / NOGRAD-G諱諶 VOLCANIC FIELD / NAGY-SALGO,,48.15,48.15,19.85,19.85,subaerial,"WEHRLITE, XENOLITH",,CLINOPYROXENE,,core,secondary,58.59,,,1448.22,121.02,0.42,45.17,11.1,39.41,0.19,1.42,3.04,7.82,1.22,6.91,2.57,0.88,2.37,0.38,2.64,0.43,1.03,0.14,0.89,0.13,1.51,0.05,0.17,0.21,0.08,,,
[10519] KOVACS I. J. (2004),samp. NMS15,INTRAPLATE VOLCANICS,CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONI / NOGRAD-G諱諶 VOLCANIC FIELD,"MASKOFALVA-MASKOVA, SOUTHERN SLOVAKIA",48.33,48.33,19.57,19.57,subaerial,"CLINOPYROXENITE, XENOLITH",,CLINOPYROXENE,,core,secondary,61.02,,,216.77,89.48,0,74.96,17.09,40.95,0.33,0,2.06,8.19,1.64,9.99,3.74,1.54,4.31,0.7,4.21,0.76,1.83,0.25,1.43,0.21,1.95,0.07,0.09,0.08,0.04,Amphibole,,
[10519] KOVACS I. J. (2004),samp. NMM05,INTRAPLATE VOLCANICS,CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONI / NOGRAD-G諱諶 VOLCANIC FIELD / MEDVES PLATEAU,MEDVES PLATEAU-MAGYARBANYA,48.17,48.17,19.88,19.88,subaerial,"CLINOPYROXENITE, OLIVINE, XENOLITH",,CLINOPYROXENE,,core,secondary,48.74,,,304.39,46.62,0,21.98,12.78,49.09,0.21,0.61,3.29,9.07,1.49,8.7,3.03,1.07,3.02,0.5,2.82,0.55,1.25,0.16,1.04,0.12,1.95,0.06,0.13,0.28,0.09,,,
