,,,,,,,,,,,
,,,,,,,,,,,
Age(Period),Age(Ma),Rock Type,Geologic Environment,SiO2 %,TiO2 %,MgO %,FeO* %,K2O %,Latitude,Longitude,database 
Quaternary,1.2,Basalt,seamount,47.99,0.5,3.29,,0.39,-34.4406,176.98,PetDB
Quaternary,0.22,Basalt,spreading center,50.63,2.43,5.35,,0.46,2.16,-91.92,PetDB
Quaternary,0.22,Basalt,spreading center,49.6,1.37,7.73,,0.47,2.16,-91.89,PetDB
Quaternary,0.22,Basalt,spreading center,49.39,1.36,7.83,,0.44,2.16,-91.89,PetDB
Quaternary,0.29,Basalt,spreading center,50.18,1.7,6.36,10.49,0.3,2.18,-91.88,PetDB
Quaternary,0.012,Andesite ,volcanic arc,53.28,0.77,5.24,8.83,0.87,18.0613,145.717,PetDB
Quaternary,0.286,Basalt,volcanic arc,49.56,0.77,5.31,10.65,0.64,18.0929,145.758,PetDB
Quaternary,0.001,Basalt,spreading center,50.4,0.88,10.1,,0.16,36.828,-33.262,PetDB
Quaternary,0.0001,Basalt,spreading center,,,,,,36.8362,-33.2482,PetDB
Quaternary,0.0001,Basalt,spreading center,45.4,0.45,22.6,,0.06,38.8372,-33.2482,PetDB
Quaternary,0.001,Basalt,spreading center,50.1,1.02,8.92,,0.16,36.85,-33.25,PetDB
Quaternary,1.74,Andesite ,volcanic arc,53.87,1.4,4.07,,1.49,54.1494,-165.979,PetDB
Quaternary,1.4,Andesite ,volcanic arc,56.7,0.86,2.89,,1.35,54.1494,-165.979,PetDB
Quaternary,0.599,Basalt,off axis spreading center,,,,,0.4,10.427,-103.863,PetDB
Quaternary,0.195,Basalt,off axis spreading center,,,,,0.55,11.374,-103.639,PetDB
Quaternary,0.313,Basalt,off axis spreading center,,,,,0.12,11.374,-103.639,PetDB
Quaternary,0.293,Basalt,off axis spreading center,,,,,0.5,11.3817,-103.677,PetDB
Quaternary,0.348,Basalt,off axis spreading center,,,,,1.06,11.325,-103.922,PetDB
Quaternary,0.752,Basalt,off axis spreading center,,,,,0.22,11.3,-104.148,PetDB
Neogene,13.9,Basaltic Andesite,volcanic arc,53,0.82,4.59,8.74,1.12,52.222,-175.131,PetDB
Neogene,16.2,Basaltic Andesite,volcanic arc,54,0.78,4.37,8.45,1.15,52.222,-175.131,PetDB
Neogene,5.8,Basaltic Andesite,volcanic arc,56.2,0.68,3.42,7.11,1.27,52.222,-175.131,PetDB
Neogene,4.6,Basaltic Andesite,volcanic arc,58.1,0.61,2.89,6.27,1.44,52.222,-175.131,PetDB
Neogene,3.1,Basaltic Andesite,volcanic arc,58.8,0.58,2.68,6,1.4,52.222,-175.131,PetDB
Neogene,20.5,Andesite ,volcanic arc,55.36,0.98,2.53,,0.82,55.3979,-161.862,PetDB
Neogene,10.3,Basaltic Andesite,volcanic arc,55.2,1.02,4.62,,0.9,52.2933,-172.4,PetDB
Neogene,9.7,Andesite ,volcanic arc,58.4,1.14,3.07,,1.11,52.3602,-172.524,PetDB
Neogene,7.29,Basalt,intraplate off-craton,50.86,1.56,7.38,,0.73,33.293,129.468,PetDB
Neogene,7.33,Basalt,intraplate off-craton,51.16,1.47,7.67,,1.09,33.3447,129.683,PetDB
