SiO2,MgO,TiO2,Age_Ma,Latitude,Longitude,Setting,Rock_type,Sample,Source
51.05,6.73,2.2,13.64,10.58,-42.707,MOR,,,
50.47,7.87,1.42,24.55,10.68,-44.42,MOR,,,
51.38,7.49,1.73,3.68,10.7,-41.352,MOR,,,
50.47,7.44,1.77,0.8,10.7,-41.0,MOR,,,
50.84,8.21,1.47,3.11,10.72,-41.287,MOR,,,
48.63,5.97,2.95,25.0,10.73,-44.48,MOR,,,
49.49,6.32,2.29,0.342,-54.65,-138.54,MOR,,,
47.68,9.99,1.7,0.092,-53.58,-140.65,MOR,,,
49.77,6.56,1.82,0.06,2.12,-91.95,MOR,,,
50.47,6.31,1.69,0.12,2.13,-91.9,MOR,,,
50.11,5.2,2.47,0.14,2.14,-91.95,MOR,,,
49.62,5.19,2.46,0.14,2.14,-91.95,MOR,,,
48.61,8.07,1.21,0.21,2.16,-91.92,MOR,,,
49.9,5.23,2.37,0.22,2.16,-91.92,MOR,,,
49.19,7.71,1.26,0.23,2.17,-91.91,MOR,,,
50.11,6.67,1.69,0.29,2.18,-91.95,MOR,,,
50.07,6.71,1.68,0.29,2.18,-91.95,MOR,,,
49.88,6.29,1.74,0.29,2.18,-91.95,MOR,,,
49.81,5.69,2.17,0.29,2.18,-91.88,MOR,,,
48.57,7.02,1.77,0.38,2.2,-91.84,MOR,,,
49.38,5.89,2.08,0.38,2.2,-91.84,MOR,,,
49.67,6.91,1.62,0.39,2.21,-91.94,MOR,,,
49.49,7.04,1.59,0.39,2.21,-91.94,MOR,,,
49.66,6.95,1.6,0.39,2.21,-91.94,MOR,,,
49.6,7.73,1.37,0.4,2.21,-91.89,MOR,,,
50.09,6.23,1.75,0.54,2.25,-91.92,MOR,,,
50.09,6.74,1.51,0.61,2.27,-91.93,MOR,,,
50.25,6.78,1.51,0.61,2.27,-91.93,MOR,,,
49.54,8.63,1.59,0.77,2.3,-91.87,MOR,,,
50.04,6.33,1.8,0.94,2.31,-91.71,MOR,,,
50.54,7.57,1.14,0.78,2.32,-91.93,MOR,,,
50.54,7.6,1.17,0.78,2.32,-91.93,MOR,,,
51.04,7.88,1.18,0.78,2.32,-91.93,MOR,,,
49.81,4.89,1.85,1.02,2.4,-91.89,MOR,,,
50.11,5.64,1.91,1.07,2.41,-91.83,MOR,,,
50.46,7.54,1.69,0.003,9.28,-104.218,MOR,,,
50.3,6.8,2.0,0.074,9.53,-104.207,MOR,,,
51.0,6.69,1.83,0.064,9.53,-104.226,MOR,,,
49.94,8.7,1.29,0.0,9.84,-104.292,MOR,,,
50.45,8.02,1.5,0.002,9.89,-104.298,MOR,,,
49.2,7.23,1.51,1.55,47.14,-131.463,MOR,,,
49.8,6.14,1.46,4.4,47.5,-131.515,MOR,,,
55.68,3.5,1.25,1,-15.43,-72.333,ARC,basaltic andesite,,
54.76,3.39,1.37,1,-15.536,-72.288,ARC,basaltic andesite,,
55.8,3.71,1.16,1,-15.7,-72.095,ARC,basaltic andesite,,
54.81,3.83,1.32,1,-15.663,-72.072,ARC,basaltic andesite,,
55.25,3.72,1.35,1,-15.713,-72.005,ARC,basaltic andesite,,
51.43,7.3,1.21,1,-15.843,-72.119,ARC,basaltic andesite,,
55.81,3.37,1.44,1,-15.855,-72.182,ARC,basaltic andesite,,
52.46,5.34,1.46,1,-16.26,-71.73,ARC,basaltic andesite,,
52.25,5.9,1.34,1,-16.26,-71.73,ARC,basaltic andesite,,
52.3,5.45,1.47,1,-16.26,-71.73,ARC,basalt,,
56.8,3.51,1.35,1,-18.127,-69.522,ARC,basaltic andesite,,
55.5,3.61,1.54,0.0,-18.12,-69.518,ARC,basaltic andesite,,
53.39,4.27,1.81,1,-18.083,-69.5,ARC,basaltic andesite,,
54.68,3.61,1.81,1,-18.083,-69.5,ARC,basaltic andesite,,
52.6,5.68,,1,-18.08,-68.6,ARC,basalt,,
52.6,6.07,,1,-17.833,-68.417,ARC,basalt,,
52.75,5.69,1.76,0.19,-18.1,-69.103,ARC,basaltic andesite,,
52.87,5.98,1.56,1,-18.099,-69.099,ARC,basaltic andesite,,
51.4,5.98,1.51,1,-18.099,-69.098,ARC,basaltic andesite,,
53.32,4.98,1.65,1,-18.21,-69.158,ARC,basaltic andesite,,
54.04,4.79,1.62,0.0,-18.213,-69.153,ARC,basaltic andesite,,
53.5,4.99,1.62,1,-18.219,-69.153,ARC,basaltic andesite,,
52.99,4.89,1.61,1,-18.22,-69.153,ARC,basaltic andesite,,
52.83,5.72,,1,-18.283,-68.6,ARC,basalt,,
54.12,4.69,1.67,3.05,-18.468,-69.196,ARC,basaltic andesite,,
44.85,9.26,,1,-19.433,-67.383,ARC,basalt,,
51.98,7.99,,1,-19.467,-67.45,ARC,basalt,,
51.88,7.76,,1,-19.483,-67.467,ARC,basalt,,
55.47,4.17,,1,-19.583,-67.317,ARC,basalt,,
54.06,5.59,,1,-20.85,-67.833,ARC,basalt,,
53.59,8.37,,1,-21.067,-67.967,ARC,basalt,,
52.9,6.8,1.25,1,-21.283,-68.3,ARC,basalt,,
54.5,6.6,1.32,1,-21.283,-68.3,ARC,basaltic andesite,,
54.22,7.66,0.95,1,-21.3,-68.333,ARC,basaltic andesite,,
53.09,5.19,1.42,1,-21.303,-68.183,ARC,basaltic andesite,,
56.41,6.68,1.44,1,-24.0,-66.417,ARC,basaltic andesite,,
54.3,7.68,0.83,1,-24.471,-68.452,ARC,basaltic andesite,,
53.55,9.36,0.9,1,-27.183,-68.367,ARC,basaltic andesite,,
53.08,8.99,1.19,1,-27.183,-68.367,ARC,basaltic andesite,,
50.1,7.87,1.5,0.08,-14.089,-71.374,ARC,basalt,,
54.2,3.75,1.2,3,-16.014,-71.566,ARC,basaltic andesite,,
53.2,4.45,0.99,3,-18.088,-69.488,ARC,basaltic andesite,,
54.12,4.69,1.67,3.05,-18.468,-69.196,ARC,basaltic andesite,,
54.9,4.29,1.69,3.23,-20.867,-68.6,ARC,basaltic andesite,,
54.9,4.29,1.69,3.23,-20.867,-68.6,ARC,basaltic andesite,,
56.54,2.73,0.98,3,-21.417,-68.317,ARC,basaltic andesite,,
52.95,5.18,1.42,3,-21.583,-68.483,ARC,basalt,,
53.8,4.39,1.09,10,-15.614,-72.748,ARC,basaltic andesite,,
53.3,3.07,1.52,11.2,-15.397,-71.288,ARC,basaltic andesite,,
52.81,7.57,1.31,3,-16.047,-70.704,ARC,basaltic andesite,,
54.6,2.83,0.72,10,-14.658,-74.329,ARC,basaltic andesite,,
50.7,6.62,1.23,10,-15.171,-73.744,ARC,basaltic andesite,,
51.9,6.34,1.04,10,-15.455,-71.369,ARC,basaltic andesite,,
51.12,4.79,1.05,10,-14.962,-70.943,ARC,trachybasalt,,
49.69,6.17,1.11,10,-15.166,-70.437,ARC,trachybasalt,,
52.46,5.29,1.36,10,-14.997,-70.439,ARC,trachybasalt,,
51.19,3.49,1.27,23.0,-27.217,-69.367,ARC,basalt,,
43.96,14.8,0.89,10,-18.353,-69.181,ARC,basalt,,
50.7,6.22,0.89,15.0,-18.533,-69.008,ARC,basalt,,
54.6,3.97,0.96,15.07,-18.394,-69.596,ARC,basaltic andesite,,
52.4,3.66,1.22,19.9,-25.898,-68.379,ARC,basalt,,
49.18,9.09,1.29,10,-27.083,-69.1,ARC,basalt,,
45.67,9.21,1.93,10,-19.883,-66.917,ARC,basalt,,
52.05,6.44,1.36,10,-19.833,-66.883,ARC,basalt,,
54.66,5.92,1.18,10,-19.833,-66.883,ARC,basalt,,
45.46,7.25,1.06,30,-15.008,-70.608,ARC,basalt,,
46.72,7.58,0.93,30,-15.008,-70.608,ARC,basalt,,
47.32,6.05,0.96,30,-15.008,-70.608,ARC,basalt,,
52.29,2.58,0.93,26.9,-15.008,-70.608,ARC,basalt,,
53.43,4.14,0.92,30,-14.829,-70.983,ARC,trachybasalt,,
49.69,1.74,0.91,30,-14.919,-70.727,ARC,basalt,,
52.57,4.78,1.05,30,-14.849,-70.611,ARC,basalt,,
50.35,2.96,0.99,30,-14.891,-70.593,ARC,basalt,,
53.66,3.16,1.05,30,-14.898,-70.564,ARC,trachybasalt,,
48.53,4.71,1.38,30,-15.054,-70.612,ARC,basalt,,
53.24,3.06,1.05,30,-15.038,-70.449,ARC,trachybasalt,,
48.21,2.78,1.4,30,-15.033,-70.488,ARC,trachybasalt,,
50.19,8.11,0.91,26.5,-15.906,-70.59,ARC,basalt,,
51.89,4.01,0.9,30,-14.977,-70.898,ARC,trachybasalt,,
51.82,3.26,0.89,30,-14.954,-70.878,ARC,trachybasalt,,
45.78,7.91,0.97,30,-15.05,-70.589,ARC,basalt,,
49.51,3.35,0.98,30,-14.891,-70.593,ARC,basalt,,
57.27,3.77,1.35,30,-19.3,-67.54,ARC,trachybasalt,,
52.27,6.23,1.49,30,-18.32,-68.62,ARC,basalt,,
44.66,9.39,2.28,30,-19.43,-67.38,ARC,basalt,,
52.52,7.63,1.4,30,-19.06,-67.61,ARC,basalt,,
50.81,3.02,0.97,30,-19.53,-67.25,ARC,trachybasalt,,
51.06,9.06,0.93,30,-21.09,-68.08,ARC,basalt,,
53.4,7.94,0.99,30,-21.06,-67.97,ARC,basalt,,
51.03,5.57,1.1,45,-24.717,-69.415,ARC,basalt,,
50.53,5.75,0.8,45,-23.108,-68.672,ARC,basalt-andesite,,
50.3,3.09,0.93,45,-23.108,-68.672,ARC,basalt-andesite,,
52.85,2.01,0.84,45,-23.108,-68.672,ARC,basalt-andesite,,
53.84,3.37,1.72,100,-22.488,-69.181,ARC,basaltic andesite,,
50.5,5.64,1.4,100,-22.317,-69.092,ARC,basalt,,
54.01,3.16,1.69,170,-22.208,-70.222,ARC,basaltic andesite,,
45.27,5.63,3.75,19.5,28.3587,-14.0537,HOTSPOT,,H1,Tornare 2016
43.83,7.14,2.63,19.5,28.3587,-14.0537,HOTSPOT,,H2,Tornare 2016
65.4,0.65,0.55,19.5,28.3587,-14.0537,HOTSPOT,,H3,Tornare 2016
41.9,12.77,3.99,19.5,28.3587,-14.0537,HOTSPOT,,PN1,Tornare 2016
49.5,8.74,2.37,19.5,28.3587,-14.0537,HOTSPOT,,PN2,Tornare 2016
44.96,12.43,2.83,19.5,28.3587,-14.0537,HOTSPOT,,PN3,Tornare 2016
49.92,3.99,2.83,19.5,28.3587,-14.0537,HOTSPOT,,MH1,Tornare 2016
50.31,3.46,2.85,19.5,28.3587,-14.0537,HOTSPOT,,MH2,Tornare 2016
48.6,4.39,3.63,19.5,28.3587,-14.0537,HOTSPOT,,C1,Tornare 2016
49.39,3.95,3.45,19.5,28.3587,-14.0537,HOTSPOT,,C2,Tornare 2016
45.26,5.8,4.69,19.5,28.3587,-14.0537,HOTSPOT,,C3,Tornare 2016
44.79,6.88,4.11,19.5,28.3587,-14.0537,HOTSPOT,,C4,Tornare 2016
46.38,7.53,3.81,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-2,McCoy-West 2010
45.92,7.63,3.76,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-3,McCoy-West 2010
45.62,7.22,4.07,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-4,McCoy-West 2010
45.8,7.02,4.23,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-9,McCoy-West 2010
45.93,8.56,3.86,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-11,McCoy-West 2010
44.49,9.9,3.82,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-13,McCoy-West 2010
46.69,6.41,3.77,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-14,McCoy-West 2010
46.2,7.02,4.01,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-17,McCoy-West 2010
46.45,7.64,3.91,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-19,McCoy-West 2010
45.4,7.04,4.17,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-21,McCoy-West 2010
45.71,7.87,3.9,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-23,McCoy-West 2010
45.05,5.81,4.25,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-24,McCoy-West 2010
45.9,5.59,4.47,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-27,McCoy-West 2010
45.59,9.72,3.74,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-28,McCoy-West 2010
46.09,6.23,3.96,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-29,McCoy-West 2010
46.32,5.27,4.19,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-30,McCoy-West 2010
47.58,8.65,3.32,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-31,McCoy-West 2010
