Supplementary material: Table DR2. Full data set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc,Sample,Location,Geologycal_age,Domain,Sample_type,Rock_type,Geochemistry Reference,Country,Age  (Ma),error (Ma),Age Reference,Longitude (X),Latitude (Y),SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,LOI,SUM (no water),,Nb_xrf,Zr_xrf,Y_xrf,Sr_xrf,Rb_xrf,Pb_xrf,Ga_xrf,Zn_xrf,Cu_xrf,Ni_xrf,Co_xrf,Cr_xrf,V_xrf,Ba_xrf,Sc_xrf,,Li_icpms,Sc_icpms,V_icpms,Co_icpms,Ni_icpms,Cu_icpms,Zn_icpms,Rb_icpms,Sr_icpms,Y_icpms,Nb_icpms,Zr_icpms,Mo_icpms,Cs_icpms,Cd_icpms,Ba_icpms,La_icpms,Ce_icpms,Pr_icpms,Nd_icpms,Sm_icpms,Eu_icpms,Gd_icpms,Tb_icpms,Dy_icpms,Ho_icpms,Er_icpms,Tm_icpms,Yb_icpms,Lu_icpms,Hf_icpms,Ta_icpms,W_icpms,Pb_icpms,Th_icpms,U_icpms,,La/Sm,La/Yb,Sr/Y,Sm/Yb,Dy/Yb,,87_86Sr,87_86Sr_error,87_86Sr initial,143_144Nd,143_144Nd_error,eNd,TDM ages,206_204Pb,206Pb_error,207_204Pb,207Pb_error,208Pb_204Pb,208Pb_error
Frontal arc,SAR-00-08,Sara Sara,Quaternary,Paracas,lava,andesite,"Mamani et al., 2008",Peru,1.62,0.03,"Kaneoka and Guevara, 1984",-73.336,-15.136,58.90,1.13,16.50,5.85,,0.07,2.25,5.20,5.06,2.89,0.56,,,98.41,,8.0,248.0,13.0,1219.0,58.0,12.0,22.0,112.0,61.0,16.0,12.0,27.0,132.0,1537.0,10.0,,13.1,7.8,117.0,14.7,16.0,55.5,117.6,70.6,1259.5,12.4,11.6,250.8,1.3,0.5,0.2,1395.3,69.5,135.2,16.5,58.5,9.1,1.9,7.1,0.6,2.9,0.4,1.3,0.1,0.9,0.1,6.7,0.5,0.3,12.8,3.7,0.7,,7.6,79.4,93.8,10.4,3.4,,,,,0.51247,0.00001,-3.3,0.9,18.670,0.001,15.669,0.001,38.880,0.002
Frontal arc,SAR-00-07,Sara Sara,Quaternary,Paracas,lava,andesite,"Mamani et al., 2008",Peru,,,,-73.347,-15.200,62.90,0.83,16.50,4.97,,0.08,1.97,4.35,4.76,2.99,0.34,,,99.69,,7.0,238.0,13.0,763.0,70.0,17.0,23.0,93.0,50.0,12.0,15.0,27.0,104.0,1257.0,8.0,,17.6,6.1,111.9,13.0,18.1,54.1,106.6,44.9,708.2,9.3,8.2,223.7,,0.9,,1177.9,28.2,56.7,6.3,23.0,4.5,1.2,3.6,0.4,1.8,0.4,1.0,0.2,0.9,0.2,5.4,0.5,0.5,12.1,2.8,0.6,,6.3,32.8,58.7,5.2,2.1,,,,,,,,,,,,,,
Frontal arc,SAR-00-13,Sara Sara,Quaternary,Paracas,lava,andesite,"Mamani et al., 2008",Peru,,,,-73.419,-15.252,60.60,1.02,16.40,5.59,,0.08,2.24,4.82,5.00,3.00,0.47,,,99.22,,9.0,234.0,16.0,1030.0,80.0,15.0,22.0,109.0,54.0,21.0,14.0,36.0,121.0,1280.0,8.0,,27.0,4.4,44.7,4.8,3.6,16.9,60.5,105.3,400.8,8.1,7.1,160.0,1.3,2.0,0.2,958.5,26.5,56.2,6.4,23.2,3.9,0.8,2.8,0.3,1.7,0.3,0.8,0.1,0.7,0.1,4.8,0.4,3.3,15.4,6.5,1.5,,6.9,36.3,64.4,5.3,2.3,,,,,0.51246,0.00000,-3.6,1.0,18.667,0.001,15.686,0.001,38.897,0.002
Frontal arc,SAR-00-06,Sara Sara,Quaternary,Paracas,ignimbrite,rhyolite,"Mamani et al., 2008",Peru,,,,-73.366,-15.271,65.00,0.41,15.30,2.57,,0.04,0.97,2.60,3.99,3.65,0.15,,,94.69,,7.0,199.0,10.0,535.0,81.0,13.0,20.0,64.0,24.0,3.0,2.0,7.0,42.0,1164.0,6.0,,17.2,2.6,42.6,4.9,6.6,30.5,71.6,60.3,465.3,6.7,7.2,181.3,,1.4,,1070.9,20.2,46.1,4.5,16.2,3.3,0.9,2.6,0.3,1.3,0.3,0.7,0.2,0.7,0.2,4.7,0.5,0.4,14.5,2.9,0.5,,6.2,29.5,53.5,4.8,1.9,,,,,,,,,,,,,,
Frontal arc,SAR-00-10,Sara Sara,Quaternary,Paracas,ignimbrite,rhyolite,"Mamani et al., 2008",Peru,,,,-73.548,-15.314,68.60,0.36,15.10,2.43,,0.05,0.62,2.29,4.43,3.62,0.15,,,97.65,,11.0,171.0,10.0,479.0,104.0,12.0,19.0,53.0,16.0,4.0,8.0,6.0,43.0,986.0,5.0,,27.6,3.0,39.6,4.2,6.1,21.1,60.8,86.2,417.9,6.5,7.4,64.1,,2.3,,898.9,20.0,40.9,4.1,14.8,2.9,0.8,2.4,0.3,1.3,0.3,0.7,0.2,0.7,0.2,2.1,0.6,0.5,14.1,4.2,0.9,,6.9,30.6,47.9,4.4,1.9,,,,,,,,,,,,,,
Frontal arc,SAR-00-03,Sara Sara,Quaternary,Paracas,lava,dacite,"Mamani et al., 2008",Peru,,,,-73.345,-15.332,65.40,0.66,15.80,3.72,,0.06,1.29,3.31,4.86,3.21,0.29,,,98.60,,9.0,191.0,9.0,697.0,83.0,12.0,22.0,79.0,39.0,7.0,6.0,15.0,77.0,1100.0,6.0,,22.8,5.3,72.6,8.5,8.3,38.6,84.2,99.6,814.0,9.4,10.0,154.3,1.5,1.5,0.1,1014.1,41.7,82.4,9.7,34.3,5.5,1.2,4.3,0.4,2.0,0.3,0.9,0.1,0.7,0.1,4.2,0.6,0.5,14.5,5.5,1.2,,7.6,62.7,77.4,8.3,3.0,,0.7059,,0.7059,0.51246,0.00000,-3.6,0.9,18.678,0.001,15.696,0.001,38.939,0.002
Frontal arc,SAR-00-12,Sara Sara,Quaternary,Paracas,lava,dacite,"Mamani et al., 2008",Peru,,,,-73.567,-15.364,68.90,0.44,15.70,2.73,,0.05,0.73,2.49,4.78,3.53,0.19,,,99.53,,10.0,200.0,12.0,529.0,98.0,14.0,20.0,66.0,30.0,2.0,6.0,8.0,40.0,1070.0,0.0,,20.6,3.2,37.1,4.3,2.3,26.1,65.8,93.0,542.7,8.3,10.4,142.8,1.1,1.3,0.1,954.1,27.8,62.8,7.0,25.5,4.3,0.9,3.5,0.3,1.9,0.3,0.9,0.1,0.7,0.1,4.2,0.7,0.6,16.6,5.8,1.0,,6.4,38.9,44.1,6.1,2.6,,,,,0.51246,0.00000,-3.5,1.0,18.631,0.000,15.640,0.000,38.734,0.001
Frontal arc,COTA-05-15,Huachuy,Quaternary,Paracas,lava,andesite,"Mamani et al., 2009",Peru,0.66,0.01,"Thouret et al., 2007",-72.997,-15.341,58.90,1.22,16.90,6.56,,0.08,2.88,5.64,4.76,2.41,0.48,,,99.84,,5.0,205.0,15.0,975.0,43.0,5.0,21.0,99.0,45.0,30.0,47.0,47.0,133.0,1110.0,12.0,,9.6,9.2,112.0,39.5,25.0,44.4,102.7,41.0,858.4,11.8,8.7,190.7,8.7,0.3,,934.3,31.3,60.4,8.5,34.1,5.7,1.4,4.2,0.4,2.3,0.4,0.6,0.1,0.7,0.1,4.9,0.6,95.7,8.0,2.8,0.5,,5.4,42.7,65.0,7.8,3.2,,,,,,,,,,,,,,
Frontal arc,COTA-05-11,Huachuy,Quaternary,Paracas,lava,dacite,"Mamani et al., 2009",Peru,0.45,0.01,"Thouret et al., 2007",-73.062,-15.354,66.40,0.59,15.70,3.47,,0.05,1.23,3.17,4.53,3.46,0.25,,,98.85,,9.0,214.0,11.0,614.0,97.0,16.0,21.0,58.0,27.0,9.0,60.0,17.0,67.0,1222.0,9.0,,22.0,3.9,60.5,51.4,7.3,25.0,65.7,61.5,473.2,7.8,9.5,181.2,2.1,1.6,,1068.6,24.2,45.1,5.9,22.5,3.6,0.8,2.6,0.3,1.5,0.3,0.5,0.1,0.5,0.1,4.9,0.8,214.6,12.3,5.4,0.8,,6.7,44.4,55.8,6.7,2.7,,,,,,,,,,,,,,
Frontal arc,COTA-05-09b,Huachuy,Quaternary,Paracas,lava,dacite,"Mamani et al., 2009",Peru,,,,-73.057,-15.373,67.40,0.58,15.70,3.40,,0.05,1.18,3.02,4.60,3.59,0.24,,,99.76,,9.0,213.0,11.0,587.0,99.0,11.0,21.0,64.0,4.0,7.0,28.0,13.0,67.0,1246.0,7.0,,17.5,3.7,60.6,23.2,6.5,10.6,63.9,78.6,472.1,7.4,10.1,161.5,1.1,1.4,,1146.2,24.2,46.4,6.1,23.2,3.7,0.8,2.6,0.3,1.5,0.3,0.4,0.1,0.6,0.1,4.5,0.7,91.1,12.5,5.9,0.6,,6.5,43.7,53.4,6.7,2.7,,,,,,,,,,,,,,
