License: Creative Commons Attribution 4.0 International (CC-BY 4.0) License.,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Tappe, Sebastian, 2022, ""Global magmatic kimberlite and carbonatite compositions (elemental and isotopic)"", https://doi.org/10.25625/FLV19S, Göttingen Research Online / Data, V1.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Global Database of Major Element Compositions for Bulk Group-1 Kimberlites and Aillikites as compiled in Tappe et al. (2017, EPSL; supplementary file E)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country / Region,Kimberlite Pipe / Cluster / Field,Kimberlite Group,Sample Number-1,Sample Number-2,Reference,Age [Ma],SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,LOI,,,
,,,,,,,,,,,,,,,,,,,,,,,
North America - Greenland,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"State Line (Colorado/Wyoming, U.S.A.)",Stateline Nix,Group-1 Kimberlite,,Nix-1,Coopersmith et al. (2003),,30.30,1.13,2.85,5.85,1.42,0.14,27.50,10.70,0.07,0.47,0.54,4.72,6.28,11.00,,,
"State Line (Colorado/Wyoming, U.S.A.)",Stateline Nix,Group-1 Kimberlite,,NX4-16,Smith et al. (1978),,34.20,0.95,2.70,6.40,1.50,0.14,30.70,6.80,0.09,0.42,0.30,11.80,2.20,14.00,,,
"State Line (Colorado/Wyoming, U.S.A.)",Stateline Nix,Group-1 Kimberlite,,NX4-10,Smith et al. (1978),,34.20,0.75,2.40,3.70,2.10,0.13,31.20,7.90,0.07,1.10,0.15,6.30,3.50,9.80,,,
"State Line (Colorado/Wyoming, U.S.A.)",Stateline Nix,Group-1 Kimberlite,,Nix-1,Kjarsgaard et al. (2009),,26.00,1.29,1.90,8.51,,0.18,30.00,12.80,0.13,0.13,0.66,,,17.50,,,
"State Line (Colorado/Wyoming, U.S.A.)",Stateline Iron Mtn,Group-1 Kimberlite,,IM16-5,Smith et al. (1978),,33.60,3.00,2.80,7.70,3.80,0.18,28.40,5.10,0.05,1.40,0.35,9.50,1.70,11.20,,,
"State Line (Colorado/Wyoming, U.S.A.)",Stateline Iron Mtn,Group-1 Kimberlite,,IM16-5,Coopersmith et al. (2003),,33.80,3.00,2.80,7.80,3.80,0.18,28.60,5.10,0.05,1.40,0.35,9.60,1.70,11.30,,,
"State Line (Colorado/Wyoming, U.S.A.)",Stateline Iron Mtn,Group-1 Kimberlite,,IM60-97,Coopersmith et al. (2003),,31.76,2.60,2.62,11.97,,0.19,28.42,6.46,0.00,0.58,0.33,,,15.57,,,
"State Line (Colorado/Wyoming, U.S.A.)",Stateline Iron Mtn,Group-1 Kimberlite,,IM21-98,Coopersmith et al. (2003),,31.93,2.56,2.54,11.82,,0.18,28.82,7.72,0.01,1.04,0.21,,,13.29,,,
"State Line (Colorado/Wyoming, U.S.A.)",Stateline Iron Mtn,Group-1 Kimberlite,,IM21-98,Coopersmith et al. (2003),,30.20,2.62,2.49,11.75,,0.18,29.26,8.76,0.15,0.91,0.16,,,13.68,,,
"State Line (Colorado/Wyoming, U.S.A.)",Stateline Iron Mtn,Group-1 Kimberlite,,IM15-97,Coopersmith et al. (2003),,30.20,2.36,2.34,11.26,,0.20,25.92,10.11,0.01,1.21,0.78,,,16.01,,,
"State Line (Colorado/Wyoming, U.S.A.)",Stateline Chicken Park,Group-1 Kimberlite,,Chicken Park-1,Kjarsgaard et al. (2009),,28.07,3.85,2.42,12.80,,0.15,28.61,7.97,0.04,1.05,0.43,,,13.73,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Peuyuk,Group-1 Kimberlite,,PC1,Kjarsgaard et al. (2009),,25.20,0.73,1.50,1.60,4.70,0.12,29.25,12.39,0.07,0.07,0.23,5.70,16.60,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Nord,Group-1 Kimberlite,,N2B,Kjarsgaard et al. (2009),,33.00,1.33,2.50,4.90,1.90,0.13,28.20,9.42,0.12,1.93,0.67,7.20,6.30,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Jos,Group-1 Kimberlite,,J1A,Kjarsgaard et al. (2009),,22.70,1.23,1.10,2.10,4.50,0.13,24.05,21.95,0.08,0.40,0.54,1.90,17.20,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Elwin,Group-1 Kimberlite,,E4,Kjarsgaard et al. (2009),,30.90,1.28,2.30,5.60,2.30,0.14,30.50,7.75,0.06,0.19,0.61,11.50,5.40,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K12B,Kjarsgaard et al. (2009),,28.30,1.51,3.00,6.60,1.90,0.16,26.64,11.60,0.15,1.26,1.24,9.40,7.20,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K1B,Kjarsgaard et al. (2009),,29.40,2.42,2.50,5.50,3.50,0.15,27.12,11.01,0.09,0.79,0.76,9.50,6.70,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K23A,Kjarsgaard et al. (2009),,27.60,2.29,2.40,4.00,5.60,0.17,30.08,12.45,0.04,0.03,0.56,4.80,8.60,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K10D,Kjarsgaard et al. (2009),,32.00,2.09,2.30,5.10,4.00,0.14,31.85,6.42,0.07,0.20,0.29,9.70,5.00,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K15B,Kjarsgaard et al. (2009),,30.40,1.19,2.27,5.28,2.90,0.15,30.80,8.07,0.36,0.29,0.76,9.20,5.80,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K23C,Kjarsgaard et al. (2009),,27.10,2.15,2.10,2.20,5.40,0.13,27.07,14.72,0.09,0.58,0.53,4.60,11.10,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K15C,Kjarsgaard et al. (2009),,30.60,1.11,2.00,4.60,3.40,0.13,32.01,9.35,0.20,0.03,1.05,8.40,6.40,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K10A,Kjarsgaard et al. (2009),,33.50,1.61,1.70,4.70,4.30,0.14,33.94,6.02,0.05,0.09,0.24,9.40,4.30,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K10B,Kjarsgaard et al. (2009),,28.10,1.35,1.70,4.90,3.50,0.12,25.84,13.61,0.05,0.20,0.47,8.90,10.40,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K4A,Kjarsgaard et al. (2009),,25.70,1.53,1.60,2.80,5.00,0.14,28.42,15.04,0.07,0.05,0.52,5.00,12.60,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K9B,Kjarsgaard et al. (2009),,26.80,1.39,1.40,2.60,5.10,0.13,28.73,14.27,0.07,0.05,0.53,5.00,11.80,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K23B2,Kjarsgaard et al. (2009),,31.50,1.23,1.20,3.90,5.20,0.15,35.39,8.25,0.00,0.02,0.31,5.30,6.90,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K5A,Kjarsgaard et al. (2009),,19.90,1.22,1.20,1.80,4.40,0.13,21.00,23.76,0.07,0.10,0.57,4.00,19.60,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K10EE,Kjarsgaard et al. (2009),,32.00,0.99,0.90,3.70,5.00,0.12,33.41,7.31,0.05,0.28,0.24,6.90,8.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG A154,Group-1 Kimberlite,,A154 11-1,Kjarsgaard et al. (2009),55.5,36.80,0.36,2.60,,7.10,0.13,30.20,3.90,0.00,0.24,0.17,,,17.20,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG A154,Group-1 Kimberlite,,A154 11-2,Kjarsgaard et al. (2009),55.5,37.90,0.42,2.13,,7.71,0.13,34.80,2.28,0.00,1.42,0.30,,,11.40,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG A154,Group-1 Kimberlite,,A154 11-3,Kjarsgaard et al. (2009),55.5,37.90,0.42,2.00,,7.53,0.13,32.20,4.35,0.00,0.54,0.23,,,13.40,,,
