SAMPLE ID,REFERENCES,TECTONIC SETTING,Location,Island,LOCATION COMMENT,LATITUDE,LONGITUDE,MIN ELEVATION,MAX ELEVATION,ROCK NAME,MIN AGE,MAX AGE,AGE,ANALYZED MATERIAL,ROCK TYPE,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,NIO,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,H2O,HE,CO2,F,CL,S,LI,BE,B,SC,TI,V,CR,MN,CO,NI,CU,ZN,GA,GE,AS,SE,BR,RB,SR,Y,ZR,NB,MO,RU,PD,AG,CD,INDIUM,SN,SB,TE,I,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,W,RE,OS,IR,PT,AU,TL,PB,BI,TH,U,iso143Nd144Nd,iso87Sr86Sr,iso206Pb204Pb,iso207Pb204Pb,iso208Pb204Pb,iso176Hf177Hf,HE3_HE4,HE3_HE4_R_RA,HE4_HE3,LATITUDE MAX,LONGITUDE MAX,LAND OR SEA,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,B2O3(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),C(PPM),NA,MG,AL,P,K,CA,FE(PPM),RH(PPM),HG(PPM),EPSILON_ND,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,
s_A1 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51281,0.70383,19.03,15.60,39.35,0.28311,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164528,
s_A2 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51286,0.70393,19.05,15.60,39.40,0.28312,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164529,
s_AMS3 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,48.88,1.53,19.34,,,,,8.79,,0.16,5.09,12.20,2.19,0.62,0.20,0.03,,,,,,,,,,,,209.00,26.00,,,38.00,,82.00,17.00,,,,,15.80,346.00,19.40,107.00,21.00,,,,,,,,,,,,216.00,13.00,28.00,,,,,,,,,,,,,,,,,,,,,,1.00,,2.00,,0.51283,0.70394,19.06,15.61,39.45,0.28314,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164530,
s_AMS4 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,48.91,1.54,19.18,,,,,8.83,,0.16,5.10,12.18,2.20,0.61,0.23,,,,,,,,,,,,,212.00,24.00,,,37.00,,78.00,17.00,,,,,15.60,344.00,18.90,107.00,21.30,,,,,,,,,,,,215.00,11.00,29.00,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,,0.51284,0.70393,19.07,15.62,39.48,0.28315,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164531,
s_AMS6 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,49.74,1.91,14.85,,,,,11.00,,0.19,6.12,11.05,2.57,0.65,0.25,0.16,,,,,,,,,,,,272.00,29.00,,,26.00,,102.00,17.00,,,,,16.70,286.00,25.10,130.00,22.60,,,,,,,,,,,,219.00,16.00,34.00,,,,,,,,,,,,,,,,,,,,,,2.00,,2.00,,0.51287,0.70388,19.07,15.61,39.43,0.28315,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164532,
s_NA15 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,49.04,1.52,19.28,,,,,8.71,,0.15,5.10,12.22,2.30,0.60,0.23,0.76,,,,,,,,,,,,203.00,33.00,,,40.00,,74.00,17.00,,,,,15.30,352.00,19.30,103.00,20.60,,,,,,,,,,,,206.00,13.00,26.00,,,,,,,,,,,,,,,,,,,,,,1.00,,2.00,,0.51283,0.70396,19.07,15.62,39.48,0.28313,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164533,
s_NA27 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,48.90,2.31,15.45,,,,,12.02,,0.21,5.73,10.49,2.69,0.63,0.28,0.56,,,,,,,,,,,,301.00,76.00,,,38.00,,105.00,19.00,,,,,9.10,313.00,33.20,156.00,26.10,,,,,,,,,,,,258.00,27.00,48.00,,,,,,,,,,,,,,,,,,,,,,2.00,,3.00,,0.51285,0.70382,19.11,15.62,39.51,0.28312,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164535,
s_NA23 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,49.73,2.64,14.72,,,,,13.24,,0.21,4.60,8.91,3.11,0.84,0.39,0.69,,,,,,,,,,,,358.00,19.00,,,15.00,,122.00,21.00,,,,,14.30,263.00,31.10,207.00,35.10,,,,,,,,,,,,259.00,17.00,41.00,,,,,,,,,,,,,,,,,,,,,,2.00,,3.00,,0.51283,0.70386,19.13,15.62,39.53,0.28313,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952-NA 23,
s_A-17308 [1392],[1392],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,MUGEARITE [1392],,,,WR [1392] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.90,429.50,,,,,,,,,,,,,,,,,,,62.96,14.03,,,,,,,,,,,,,,,,,,,2.57,,,1.53,0.51305,0.70269,19.43,15.57,38.85,,,,,-7.93,-14.37,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353-A-17308,
s_AS1 [1195],[1195][3061][3112][476],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,"BASALT, TRANSITIONAL [1195] / BASALT [3061]",,,,WR [1195] ,VOL,,,,,,,,,,,,5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.08,2.20,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51300,0.70285,19.47,15.67,39.19,0.28307,,,,-7.93,-14.37,SAE,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353-AS1,
