Electronic Appendix 4: XRF (major element; weight percent) and solution ICP-MS (trace element; parts per million) whole rock geochemical data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,AMB-2,AMB-2#,AMB-3,AMB-4,AMB-5,AMB-5#,AMB-5*,AMB-6,AMB-7,AMB-8,AMB-9,AMB-9#,AMB-10,AMB-11,AMB-13,AMB-14,AMB-16,AMB-17,AMB-18,AMB-19,AMB-20,AMB-21,AMB-22,AMB-23,AMB-24,AMB-26,AMB-27,AMB-28,AMB-29,AMB-30,AMB-31,AMB-33,AMB-35,AMB-36,AMB-37,AMB-38,AMB-39,AMB-40,AMB-41,AMB-42,AMB-43,AMB-44,AMB-46,AMB-47,AMB-48,AMB-49,AMB-51,AMB-52,AMB-53,AMB-54,AMB-54#,AMC-5,AMC-5#,AMC-8,AMC-9,AMF-6,AMG-3,AMG-5,AMG-7,AMG-8,AMG-8#,AMG-9,AMG-10,AMG-10#,AMG-11,TL-1,
Rock type:,bas,,bas,bas,bas,,,bas,bas,bas,bas,,pbas,bas,basn,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,tbas,bas,bas,tbas,bas,bas,bas,bas,bas,bas,bas,bas,bas,pbas,tbas,btand,,bas,,bas,bas,bas,bas,bas,bas,bas,,bas,btand,,bas,pbas,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major element analyses (XRF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiO2  (wt %),46.38,,45.92,45.62,45.51,,,45.48,45.87,46.19,45.80,,44.65,45.93,44.49,46.69,45.46,46.20,45.73,46.45,46.56,45.40,45.18,45.71,45.05,45.86,45.90,45.59,46.09,46.32,47.58,46.07,45.62,45.18,48.27,46.01,44.62,49.94,46.93,46.71,47.54,47.12,45.70,45.23,47.22,45.68,45.75,44.95,46.28,52.29,,45.62,,,46.41,47.01,45.53,,,45.40,,,56.50,,,44.18,
TiO2,3.81,,3.76,4.07,2.85,,,2.77,2.78,3.41,4.23,,2.37,3.86,3.82,3.77,2.79,4.01,2.98,3.91,2.86,4.17,2.44,3.90,4.25,3.04,4.47,3.74,3.96,4.19,3.32,4.19,4.12,4.63,4.49,3.38,3.29,3.39,3.29,4.50,4.13,4.37,4.14,4.15,3.77,4.12,4.25,3.59,3.62,2.67,,3.78,,,3.17,3.48,3.56,,,3.12,,,2.14,,,3.23,
Al2O3,11.84,,11.73,12.70,8.96,,,8.70,9.09,11.33,13.32,,7.49,12.76,11.51,13.03,8.56,12.43,9.33,13.11,9.36,13.20,7.80,12.87,13.46,9.64,14.52,11.97,13.49,14.14,11.86,13.68,13.09,13.96,15.06,11.33,9.14,15.42,11.89,14.53,13.66,14.86,13.33,13.59,13.90,12.87,13.89,10.74,15.83,14.47,,12.72,,,10.50,15.25,11.31,,,9.52,,,16.07,,,9.18,
Fe2O3,13.95,,13.63,14.31,12.78,,,13.07,12.53,12.49,13.82,,13.36,13.69,14.49,14.08,12.83,14.00,13.11,13.36,12.94,13.95,13.19,13.89,15.17,13.05,14.03,13.60,13.48,14.04,12.88,14.51,14.47,14.63,12.29,13.19,13.91,12.66,12.85,13.35,12.76,12.71,13.82,14.30,13.41,13.94,14.38,13.42,12.16,10.89,,13.36,,,12.87,11.69,13.75,,,13.06,,,10.11,,,13.68,
MnO,0.17,,0.16,0.20,0.17,,,0.17,0.16,0.15,0.16,,0.18,0.18,0.18,0.18,0.17,0.19,0.17,0.17,0.15,0.18,0.17,0.18,0.20,0.17,0.16,0.18,0.19,0.19,0.17,0.20,0.20,0.19,0.14,0.17,0.17,0.11,0.16,0.21,0.28,0.21,0.21,0.19,0.19,0.18,0.19,0.18,0.25,0.15,,0.17,,,0.16,0.14,0.18,,,0.17,,,0.13,,,0.17,
MgO,7.53,,7.63,7.22,13.81,,,15.26,15.16,10.19,7.02,,17.79,8.56,9.90,6.41,14.55,7.02,13.27,7.64,13.01,7.04,18.42,7.87,5.81,12.96,5.59,9.72,6.23,5.27,8.65,5.12,6.17,5.45,4.26,10.78,14.17,3.73,10.94,5.48,5.94,5.18,7.62,6.79,6.39,7.64,6.30,11.45,5.12,5.24,,7.60,,,12.05,6.14,10.82,,,13.02,,,2.07,,,13.13,
CaO,12.51,,13.36,11.80,13.16,,,12.10,11.84,13.09,11.28,,12.02,10.49,11.47,11.04,13.04,12.04,12.70,11.25,12.57,11.50,10.67,11.14,11.22,12.40,10.22,10.67,11.11,10.64,11.14,11.07,11.52,10.96,9.60,11.20,12.18,8.33,10.02,9.91,10.34,9.98,10.71,11.13,9.58,11.17,10.33,12.26,10.26,7.67,,12.43,,,11.59,12.36,11.34,,,12.83,,,6.13,,,13.56,
Na2O,2.21,,2.20,2.22,1.60,,,1.37,1.50,1.79,2.63,,1.21,2.39,2.35,2.76,1.53,2.36,1.50,2.33,1.45,2.42,1.18,2.42,2.68,1.64,2.71,2.67,3.06,2.95,2.64,2.82,2.76,2.78,3.28,2.18,1.43,3.59,2.33,2.93,2.89,2.99,2.31,2.57,2.93,2.28,2.64,1.84,2.81,3.66,,2.19,,,1.84,2.58,1.93,,,1.62,,,3.75,,,1.52,
K2O,1.05,,1.06,1.23,0.78,,,0.72,0.73,0.92,1.01,,0.62,1.43,1.02,1.41,0.70,1.16,0.80,1.19,0.75,1.41,0.62,1.35,1.41,0.83,1.60,1.27,1.59,1.55,1.23,1.58,1.37,1.49,1.74,1.17,0.71,2.06,1.12,1.63,1.67,1.74,1.42,1.36,1.81,1.42,1.53,0.98,2.51,2.28,,1.32,,,0.87,0.87,0.91,,,0.84,,,2.47,,,0.85,
P2O5,0.55,,0.54,0.63,0.39,,,0.37,0.33,0.44,0.72,,0.32,0.70,0.77,0.63,0.36,0.59,0.41,0.60,0.34,0.72,0.34,0.69,0.74,0.41,0.79,0.59,0.79,0.74,0.53,0.77,0.69,0.74,0.87,0.60,0.39,0.76,0.47,0.75,0.78,0.85,0.75,0.69,0.81,0.70,0.74,0.59,1.16,0.68,,0.80,,,0.53,0.48,0.68,,,0.43,,,0.62,,,0.49,
LOI,4.13,,5.58,3.64,2.87,,,2.34,1.94,3.58,4.08,,3.53,2.71,1.98,3.21,3.49,3.40,3.62,2.85,4.88,4.66,3.39,3.03,3.67,2.43,3.08,2.46,4.24,3.00,1.32,3.56,3.26,2.59,3.83,1.72,1.66,3.00,1.30,2.01,3.20,2.66,2.77,2.07,2.20,2.03,2.11,1.86,3.61,0.71,,3.80,,,2.85,3.47,2.43,,,1.10,,,2.19,,,2.48,
Orig. sum,100.15,,99.91,99.68,99.81,,,99.89,99.60,99.63,99.83,,99.30,99.53,99.70,99.92,99.45,99.57,99.90,99.74,99.62,99.85,100.05,99.94,100.19,99.92,99.52,98.87,99.55,99.72,99.48,99.25,99.96,99.07,99.92,99.64,99.97,99.52,100.20,99.64,100.08,99.85,99.92,99.67,99.77,100.01,99.99,99.85,99.17,99.19,,99.54,,,99.91,99.71,100.04,,,99.73,,,99.59,,,100.13,
