sample location,,Morro de los Halcones,,,Pozzo Negro,,,Morro del Halconcillo,,Caracol,,,,
sample name,,H1,H2,H3,PN1,PN2,PN3,MH1,MH2,C1,C2,C3,C4,
major elements,,,,,,,,,,,,,,
SiO2,wt-%,45.27,43.83,65.40,41.90,49.50,44.96,49.92,50.31,48.60,49.39,45.26,44.79,
TiO2,wt-%,3.75,2.63,0.55,3.99,2.37,2.83,2.83,2.85,3.63,3.45,4.69,4.11,
Al2O3,wt-%,15.26,13.44,16.79,11.52,13.10,11.60,17.14,16.87,15.05,15.33,14.27,12.91,
Fe2O3,wt-%,11.97,12.99,2.47,14.46,12.62,13.86,9.90,9.99,12.95,12.17,14.69,15.08,
MnO,wt-%,0.17,0.17,0.09,0.18,0.16,0.18,0.20,0.21,0.22,0.20,0.20,0.19,
MgO,wt-%,5.63,7.14,0.65,12.77,8.74,12.43,3.99,3.46,4.39,3.95,5.80,6.88,
CaO,wt-%,10.33,11.85,0.53,10.07,9.83,9.81,8.77,7.60,8.33,8.26,10.73,11.87,
Na2O,wt-%,3.14,2.61,7.00,2.20,2.59,2.51,3.91,4.35,3.67,3.97,2.66,2.47,
K2O,wt-%,1.28,0.63,5.33,1.09,0.42,1.05,2.24,2.73,2.18,1.89,1.22,0.97,
P2O5,wt-%,0.88,0.42,0.09,0.50,0.24,0.37,0.89,1.06,1.28,0.83,0.67,0.49,
LOI,wt-%,1.95,3.38,0.43,0.71,0.29,0.38,-0.23,-0.10,-0.48,0.20,-0.55,-0.12,
Cr2O3,wt-%,0.03,0.06,0.00,0.09,0.06,0.07,0.11,0.11,0.07,0.07,0.10,0.10,
NiO,wt-%,0.01,0.02,0.00,0.04,0.03,0.05,0.06,0.06,0.04,0.04,0.05,0.05,
Somme,wt-%,99.66,99.17,99.32,99.51,99.97,100.09,99.73,99.51,99.92,99.75,99.79,99.81,
Mg#,,48.22,52.12,34.18,63.63,57.85,63.99,44.38,40.72,40.19,39.16,43.90,47.47,
FeOtot,,10.77,11.69,2.22,13.01,11.36,12.47,8.91,8.99,11.65,10.95,13.22,13.57,
,,,,,,,,,,,,,,
trace elements,,,,,,,,,,,,,,
Pb ,ppm,3.53,1.41,10.80,1.33,0.81,1.98,4.29,4.86,6.13,4.31,2.77,2.98,
Ba,ppm,668,222,414,278,100,398,526,622,432,365,287,224,
Th,ppm,5.85,2.56,27.90,2.19,1.01,3.14,5.70,6.94,5.90,4.37,3.24,2.44,
U,ppm,1.38,0.83,5.72,0.56,0.23,0.75,1.53,1.74,1.57,1.16,0.73,0.51,
Ta,ppm,5.27,2.18,10.75,3.50,1.06,3.55,4.28,5.01,4.63,3.33,2.79,2.14,
Nb,ppm,98.4,41.8,183.4,62.1,17.2,56.2,84.3,95.8,83.8,62.6,50.2,38.1,
La,ppm,70.6,30.8,139.3,27.6,10.6,33.0,62.7,72.6,71.9,49.0,39.4,30.9,
Ce,ppm,153.6,66.2,254.5,62.4,22.9,68.8,128.3,148.8,155.9,106.0,84.8,65.3,
Pr,ppm,18.93,8.52,25.78,8.49,3.06,9.03,14.84,17.66,19.86,13.31,10.64,8.60,
Rb,ppm,23.1,10.9,138.7,16.5,7.7,29.1,40.0,46.5,35.9,31.0,19.4,16.2,
Sr,ppm,1204,553,23,563,279,715,939,897,875,773,850,638,
Nd,ppm,78.1,36.5,82.4,37.2,14.1,40.1,60.0,71.3,83.6,57.5,45.6,35.8,
Hf,ppm,11.63,5.25,23.68,6.79,2.56,6.68,8.35,9.58,11.23,8.52,6.58,5.41,
Zr,ppm,522,238,1176,308,105,266,411,479,523,383,280,219,
Sm,ppm,16.09,7.92,12.65,7.57,3.86,9.48,11.46,13.21,16.80,12.01,9.80,7.88,
Ti,ppm,40101,23692,4500,27755,15137,31898,17941,18422,23896,21697,29067,26139,
Eu,ppm,4.91,2.54,2.52,2.32,1.38,3.21,3.41,3.89,4.74,3.57,2.97,2.47,
Gd,ppm,13.72,7.48,8.81,6.36,4.18,9.05,9.31,10.34,13.27,9.68,8.08,6.94,
Tb,ppm,1.82,1.05,1.31,0.85,0.64,1.25,1.22,1.41,1.76,1.30,1.07,0.92,
Dy,ppm,9.99,6.03,7.75,4.20,3.61,7.19,6.48,7.62,9.03,7.11,5.75,4.99,
